dsid,n,m0,m1,w0
regular,50,4.079039752326645,0.33311599403481856,0.8240648248999136
regular,50,5.125716019446871,1.4035321939699188,0.7512976083796045
regular,50,4.979963263722904,1.01004380586942,0.7128497754613702
regular,50,5.1719895659663555,0.2826970131527736,0.8461966515925462
regular,50,1.1136529803882425,4.937343276085009,0.2817548474826705
regular,50,1.5607822502474227,5.497000509614433,0.3193421773864173
regular,50,0.5152793914417072,5.026889446353834,0.12121824353113014
regular,50,1.0869217502156976,4.8978099541149485,0.272327577873598
regular,50,5.014177686077439,1.1227161433121102,0.8832886613201132
regular,50,5.253326267741654,0.9610862767917954,0.843129398831064
regular,50,1.5084317954733293,5.1663492555276065,0.4446107035732495
regular,50,4.868699026251761,0.7352396212496746,0.9301555917296795
regular,50,1.0569559271640872,5.537284209159992,0.3297267780792814
regular,50,1.5456496440549774,5.162759625917782,0.2108754308667613
regular,50,4.779527676577003,0.5961396269470057,0.6797983690048843
regular,50,0.7823993719539848,4.965372292586341,0.1829732840992517
regular,50,4.358025169338831,0.568286421453198,0.778869936666114
regular,50,1.0999545492903926,5.210540254961275,0.29935886101672743
regular,50,1.7745652443002624,5.059475406821205,0.1642283594164397
regular,50,0.10065130558741425,4.771170634746108,0.07947095570910892
regular,50,0.9363760974969878,4.997125070011506,0.2603276088147131
regular,50,0.6119863584765312,4.48873164096447,0.017729212511057767
regular,50,4.600080014191513,1.2120933451906688,0.6693965698153593
regular,50,0.4071393532228946,5.186172853230988,0.11428521127338048
regular,50,4.5998724828067346,0.6292004284971221,0.7935179557533907
regular,50,1.1343566610468727,5.239608100829102,0.2581104023400116
regular,50,4.386278267099387,0.8807869569092176,0.7985223169584544
regular,50,0.801514538264806,4.462204627045141,0.27923823165968076
regular,50,5.995893634467492,1.4725993003625968,0.602967770430779
regular,50,1.3542181757270169,5.044864792430387,0.36981725268769766
regular,50,5.26647877261565,1.2043742368928,0.6882210289080412
regular,50,3.6272059683838176,8.862464238811548,0.7836221303512438
regular,50,4.7108174636256654,0.813460197345976,0.7662986989911996
regular,50,0.5166976972851575,4.3117439338050945,0.3298362801906061
regular,50,4.191860885517191,2.3299552548278806,0.6069291195782874
regular,50,0.7984441233904886,5.339917684266875,0.3302711474945656
regular,50,4.552098266964807,0.9165274556172562,0.798629072309707
regular,50,4.481159854212842,0.11871506554482487,0.8530273997098294
regular,50,6.805051626400331,3.6783129474789913,0.19882923274402892
regular,50,8.034193269919685,3.3847900850851116,0.1667332094242694
regular,50,4.6789300667991265,0.2468050978442124,0.8829161924733613
regular,50,5.617978276858156,0.5355634614005708,0.7997057867527676
regular,50,5.282950728853428,0.8064729958257545,0.784886514290303
regular,50,1.5105317806896623,5.619130005340944,0.21397322329212654
regular,50,0.6458410107428882,4.664150690741613,0.13541780850046045
regular,50,0.9325171052191079,4.761131496987687,0.2405913478693743
regular,50,0.2152663375207163,4.296975965840589,0.08255755468310846
regular,50,1.5998333048805284,5.276975854102135,0.2983229068272992
regular,50,4.185694156838538,0.5333363370789839,0.8122598631686967
regular,50,4.984731559541622,0.7681711578379606,0.6621104825236295
regular,50,1.3478253464534249,5.619670230313717,0.25274097249946537
regular,50,4.371900981466182,0.1055192593556935,0.8565761290662275
regular,50,1.0303963856042724,5.160106276638684,0.2857600915746383
regular,50,5.065612491535377,0.6723422034387349,0.8075209499796715
regular,50,0.9013021794112812,5.08923097569338,0.360376465099699
regular,50,1.227126319903038,5.937673435590546,0.38587310368622796
regular,50,5.7904420827849,1.682069993019605,0.5106475171045781
regular,50,1.6679364151049234,5.622783216071143,0.44067022157352803
regular,50,4.160570908030299,0.6483288754974009,0.7378965061338844
regular,50,4.683266025584474,2.0416389797162897,0.6504934233511233
regular,50,4.88053786103169,0.05407755681331448,0.8589985583354135
regular,50,4.5383401034857185,1.0708135928027331,0.960104096375468
regular,50,0.7391600991179297,4.680055607830944,0.22838859996185903
regular,50,5.302428509323845,1.8954084878790796,0.5883709222439092
regular,50,4.7558302750643815,0.8391716533943157,0.7304257590327914
regular,50,4.196004042009144,1.152107318302542,0.7187801953521031
regular,50,4.729138301019004,0.8044797246661483,0.7275843795786834
regular,50,0.9490395595667414,5.626466588603993,0.1980718422441508
regular,50,5.306374957753763,0.8377671830883664,0.7210820415208425
regular,50,2.3854570169946627,5.80689899935062,0.38197315812752947
regular,50,9.149324826818628e-29,3.920690644416751,0.2042218366697643
regular,50,5.211896544968484,0.7518869731346218,0.7462120816698001
regular,50,1.5949420891669386,5.257711431364879,0.4252824259007621
regular,50,4.615141249706841,0.7431682912214491,0.8566257420547702
regular,50,1.8086103542879512,5.854491451734197,0.3990456992800065
regular,50,0.8828337341222149,5.10629135279128,0.3140297529987371
regular,50,4.9744012189533535,1.2280628108817042,0.734567166486916
regular,50,1.2631155374677494,5.5533279493976675,0.2641659294645155
regular,50,4.230395674209663,0.00032817929137400126,0.832060439918965
regular,50,5.288469451500997,0.747314747485335,0.8263724750879402
regular,50,1.255648995809736,5.174855316975956,0.4426547557873202
